id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
499553,,1297488,,,,19.43621,-99.13874,,4985.0,3.0,26.0,,0.17,2.0,117,1.0,
501037,,1364145,,,,19.41578,-99.17425,,1150.0,5.0,134.0,,0.89,2.0,232,23.0,
517503,,2547499,,,,19.43784,-99.07903,,550.0,1.0,281.0,,3.43,1.0,339,52.0,
527473,,158585,,,,19.41887,-99.17333,,3654.0,1.0,,,2.35,1.0,216,32.0,
544105,,2674950,,,,19.44289207458496,-99.20138549804688,,1007.0,2.0,67.0,,0.74,1.0,173,9.0,
567176,,2336127,,,,19.45595,-99.15944,,310.0,7.0,28.0,,0.24,1.0,362,0.0,
571166,,196253,,,,19.41346,-99.1775,,3328.0,1.0,1.0,,0.01,8.0,165,0.0,
583039,,2872228,,,,19.43374,-99.14616,,1290.0,2.0,118.0,,0.8,15.0,251,24.0,
607833,,1849414,,,,19.48321,-99.11241,,404.0,3.0,6.0,,0.04,1.0,87,0.0,
609012,,2944126,,,,19.43221,-99.15708,,,4.0,22.0,,0.15,1.0,181,0.0,
609594,,2223274,,,,,-99.11365,,910.0,21.0,14.0,,0.12,1.0,326,2.0,
613181,,3040937,,,,19.43826,-99.1366,,999.0,3.0,231.0,,1.53,1.0,135,25.0,
640803,,3200155,,,,19.35106,-99.19789,,6633.0,4.0,22.0,,0.15,2.0,240,0.0,
642725,,3213044,,,,19.40809,-99.18109,,,2.0,0.0,,,1.0,0,0.0,
642797,,3151538,,,,19.41499,-99.18215,,11824.0,5.0,102.0,,0.7,1.0,355,2.0,
654106,,3289927,,,,19.44333,-99.18497,,358.0,5.0,1.0,,0.01,1.0,359,0.0,
691019,,3531879,,,,19.43422,-99.145658,,1300.0,21.0,267.0,,1.79,3.0,350,2.0,
696031,,3531879,,,,19.44226,-99.18406,,1130.0,20.0,150.0,,1.03,3.0,356,3.0,
696037,,3531879,,,,19.4418,-99.18402,,1600.0,60.0,39.0,,0.26,3.0,241,0.0,
704779,,2872228,,,,19.43103,-99.14661,,865.0,2.0,27.0,,0.2,15.0,116,8.0,
728372,,3777702,,,,19.44222,-99.14461,,3438.0,1.0,153.0,,1.03,6.0,339,20.0,
737328,,3850198,,,,19.43059,-99.17073,,,2.0,25.0,,0.17,11.0,365,1.0,
741557,,3850198,,,,19.43059,-99.17073,,1415.0,2.0,7.0,,0.05,11.0,241,0.0,
760912,,3817743,,,,19.40891,-99.16083,,809.0,1.0,5.0,,0.03,1.0,364,0.0,
783080,,1767559,,,,19.33009,-99.21418,,1011.0,4.0,4.0,,0.03,3.0,364,0.0,
783480,,4129056,,,,19.35379,,,500.0,2.0,36.0,,0.28,2.0,329,2.0,
796477,,4195771,,,,19.41824,-99.1756,,607.0,5.0,147.0,,1.2,1.0,361,0.0,
817291,,4017148,,,,19.38468,-99.17708,,1072.0,2.0,85.0,,0.58,1.0,26,8.0,
822005,,4316391,,,,19.40243,-99.17828,,1391.0,4.0,55.0,,0.4,1.0,319,0.0,
824016,,4326326,,,,19.40915,-99.17321,,900.0,30.0,45.0,,0.32,6.0,330,0.0,
826691,,4326326,,,,19.40915,-99.17321,,850.0,,18.0,,0.13,6.0,271,0.0,
826760,,4326326,,,,19.40915,-99.17321,,971.0,4.0,16.0,,0.11,6.0,241,0.0,
828714,,4344353,,,,19.34183,-99.15533,,910.0,2.0,28.0,,0.28,1.0,265,1.0,
832805,,3777702,,,,19.44262,-99.14566,,,1.0,153.0,,1.05,6.0,364,15.0,
858277,,3200155,,,,19.41319,-99.1758,,3842.0,2.0,136.0,,0.93,2.0,302,0.0,
865012,,3850198,,,,19.43078,-99.17011,,,2.0,31.0,,0.22,11.0,364,0.0,
868843,,3850198,,,,19.43068,-99.17007,,1213.0,2.0,56.0,,0.44,11.0,341,3.0,
868986,,3850198,,,,19.4306,-99.17074,,1213.0,2.0,25.0,,0.17,11.0,346,2.0,
869063,,3850198,,,,19.43052,-99.17003,,,2.0,38.0,,0.35,11.0,363,5.0,
883511,,3777702,,,,19.44207,-99.14797,,3438.0,1.0,277.0,,1.91,6.0,340,17.0,
898633,,4796027,,,,19.42063,-99.16586,,1824.0,3.0,56.0,,0.39,3.0,333,1.0,
913084,,4647293,,,,19.43956,-99.17263,,993.0,2.0,167.0,,1.18,1.0,355,12.0,
939721,,4821807,,,,19.42288,-99.15488,,1684.0,3.0,,,3.78,3.0,90,26.0,
1001517,,5507751,,,,19.3461,-99.15911,,1949.0,2.0,82.0,,0.59,3.0,262,7.0,
1011428,,5307709,,,,19.34406,-99.19413,,7583.0,7.0,24.0,,0.17,1.0,358,0.0,
1013504,,1664327,,,,19.34034,-99.18345,,410.0,2.0,73.0,,0.54,2.0,321,18.0,
1051636,,22366411,,,,19.40592,-99.1691,,991.0,2.0,30.0,,0.21,1.0,365,0.0,
1066945,,5870021,,,,19.35445,-99.16251,,1200.0,2.0,153.0,,1.13,5.0,311,1.0,
1087636,,5975456,,,,19.30523,-99.18356,,526.0,1.0,51.0,,0.42,1.0,360,7.0,
1164876,,212109,,,,19.35164,-99.15289,,4954.0,10.0,6.0,,0.04,3.0,173,0.0,
1167552,,6393641,,,,19.41317,-99.15735,,708.0,3.0,155.0,,1.1,1.0,27,11.0,
1170780,,6409883,,,,19.39129,-99.1888,,425.0,3.0,17.0,,0.13,2.0,0,0.0,
1187817,,4326326,,,,19.40915,-99.17321,,900.0,,48.0,,0.34,6.0,151,0.0,
1211383,,212109,,,,19.355,-99.16181,,,5.0,20.0,,0.15,3.0,0,0.0,
1283294,,5755202,,,,19.42801,-99.16467,,1439.0,3.0,174.0,,1.3,36.0,84,16.0,
1286695,,6998716,,,,19.43514,-99.18361,,1228.0,8.0,34.0,,0.34,1.0,270,4.0,
1288566,,540705,,,,19.43179,-99.19426,,3620.0,1.0,187.0,,1.75,2.0,309,50.0,
1309198,,7116734,,,,19.34356,-99.1286,,,2.0,2.0,,0.03,3.0,297,1.0,
1363110,,6409883,,,,19.39165,-99.18885,,425.0,3.0,26.0,,0.19,2.0,0,0.0,
1378164,,2492211,,,,19.39829,-99.13817,,,30.0,36.0,,0.47,1.0,87,0.0,
1403168,,7569372,,,,19.40288,-99.17884,,602.0,2.0,2.0,,0.03,1.0,365,0.0,
1403218,,3777702,,,,19.44324,-99.14649,,3438.0,1.0,162.0,,1.19,6.0,351,2.0,
1404363,,5341352,,,,19.38015,-99.17402,,1087.0,4.0,136.0,,0.98,2.0,260,9.0,
1411454,,7609684,,,,19.41701,-99.1658,,1530.0,3.0,,,2.57,4.0,118,20.0,
